outcome,ATT,SE,lo,hi,MDE,above MDE?,excludes 0?,readable
log(origin): participation,-0.029479821591043676,0.02118329188101047,-0.07099831075182393,0.01203866756973658,0.0249,yes,no,-2.90%
log(location/origin): attraction,-0.03673185904824391,0.01801534915965048,-0.07204129457007277,-0.0014224235264150356,0.0415,no,yes,-3.61%
stayers/origin: retention,-0.006031734581568985,0.007856770031252697,-0.021430720877637907,0.009367251714499935,0.0168,no,no,-0.0060
net inflow per 1 000 (underpowered),-37.66786681328048,16.505796537409903,-70.01863356274983,-5.317100063811139,,yes,yes,-37.6679
