state,state_code,year,study_location,origin,stayers,unattributed,german_location,net_inflow,net_inflow_incl_foreign,outflow,inflow,first_years_location,ever_treated,intro_year,treated,east,city_state,fee,rel,unattr_share,ni_per1k,ni_incl_per1k
Rheinland-Pfalz,07,2005,12152.0,9949,5246,1594,10558.0,609.0,2203.0,4703,5312.0,12152,0,,0,0,0,never treated,,13.117182356813693,61.21218212885717,221.42928937581667
Rheinland-Pfalz,07,2006,12602.0,9995,5436,1655,10947.0,952.0,2607.0,4559,5511.0,12602,0,,0,0,0,never treated,,13.132836057768609,95.24762381190595,260.8304152076038
Rheinland-Pfalz,07,2007,13658.0,10969,6162,1644,12014.0,1045.0,2689.0,4807,5852.0,13658,0,,0,0,0,never treated,,12.03690144969981,95.26848390919865,245.14540979122984
Baden-Württemberg,08,2003,43453.0,35028,26901,8102,35351.0,323.0,8425.0,8127,8450.0,43453,1,2007,0,0,0,fee state,-4.0,18.645432996571007,9.221194472993034,240.52186821970994
Baden-Württemberg,08,2004,40588.0,33232,25206,7430,33158.0,-74.0,7356.0,8026,7952.0,40588,1,2007,0,0,0,fee state,-3.0,18.30590322262738,-2.226769378911892,221.35291285507944
Baden-Württemberg,08,2005,39979.0,33611,24919,7045,32934.0,-677.0,6368.0,8692,8015.0,39979,1,2007,0,0,0,fee state,-2.0,17.621751419495236,-20.142215346166434,189.46178334473834
Baden-Württemberg,08,2006,39254.0,33781,24559,6841,32413.0,-1368.0,5473.0,9222,7854.0,39254,1,2007,0,0,0,fee state,-1.0,17.427523309726396,-40.49613688167905,162.0141499659572
Baden-Württemberg,08,2007,39344.0,35271,24857,6399,32945.0,-2326.0,4073.0,10414,8088.0,39344,1,2007,1,0,0,fee state,0.0,16.264233428222855,-65.94652830937598,115.47730430098382
Bayern,09,2003,46446.0,38477,32432,5985,40461.0,1984.0,7969.0,6045,8029.0,46446,1,2007,0,0,0,fee state,-4.0,12.885932050122722,51.56327156483094,207.11074148192426
Bayern,09,2004,44712.0,36038,30426,5772,38940.0,2902.0,8674.0,5612,8514.0,44712,1,2007,0,0,0,fee state,-3.0,12.909286097691895,80.52611132693268,240.6903823741606
Bayern,09,2005,45809.0,36401,30835,5864,39945.0,3544.0,9408.0,5566,9110.0,45809,1,2007,0,0,0,fee state,-2.0,12.800977973760615,97.35996263838905,258.45443806488834
Bayern,09,2006,47375.0,36849,31343,5955,41420.0,4571.0,10526.0,5506,10077.0,47375,1,2007,0,0,0,fee state,-1.0,12.569920844327177,124.0467855301365,285.6522565062824
Bayern,09,2007,48615.0,38244,32270,5651,42964.0,4720.0,10371.0,5974,10694.0,48615,1,2007,1,0,0,fee state,0.0,11.623984366964928,123.4180525049681,271.1797929086916
Saarland,10,2003,3619.0,3659,2073,726,2893.0,-766.0,-40.0,1586,820.0,3619,1,2007,0,0,0,fee state,-4.0,20.060790273556233,-209.34681606996446,-10.931948619841487
Saarland,10,2004,3229.0,3504,1796,706,2523.0,-981.0,-275.0,1708,727.0,3229,1,2007,0,0,0,fee state,-3.0,21.86435428925364,-279.9657534246575,-78.48173515981735
Saarland,10,2005,3410.0,3669,1912,713,2697.0,-972.0,-259.0,1757,785.0,3410,1,2007,0,0,0,fee state,-2.0,20.90909090909091,-264.92232215862634,-70.59144180975743
Saarland,10,2006,3339.0,3625,1798,711,2628.0,-997.0,-286.0,1827,830.0,3339,1,2007,0,0,0,fee state,-1.0,21.29380053908356,-275.0344827586207,-78.89655172413794
Saarland,10,2007,3281.0,3733,1796,660,2621.0,-1112.0,-452.0,1937,825.0,3281,1,2007,1,0,0,fee state,0.0,20.115818348064614,-297.8837396196089,-121.08223948566837
Berlin,11,2003,16795.0,11525,7238,3798,12997.0,1472.0,5270.0,4287,5759.0,16795,0,,0,1,1,never treated,,22.613873176540636,127.72234273318873,457.26681127982647
Berlin,11,2004,15600.0,11079,6605,3921,11679.0,600.0,4521.0,4474,5074.0,15600,0,,0,1,1,never treated,,25.134615384615383,54.15651232060655,408.0693203357704
Berlin,11,2005,15840.0,10809,6311,4044,11796.0,987.0,5031.0,4498,5485.0,15840,0,,0,1,1,never treated,,25.53030303030303,91.3127948931446,465.4454621149043
Berlin,11,2006,16793.0,11097,6517,4284,12509.0,1412.0,5696.0,4580,5992.0,16793,0,,0,1,1,never treated,,25.51062942892872,127.24159682797152,513.2918806884744
Berlin,11,2007,18631.0,12486,7085,4750,13881.0,1395.0,6145.0,5401,6796.0,18631,0,,0,1,1,never treated,,25.495142504428102,111.72513214800577,492.15120935447703
