estimator,log_coef,se,pct,CI lo %,CI hi %,sig 5%,above MDE?
TWFE (baseline),-0.050180256602732544,0.020480233955611937,-4.894202543081039,-8.636261022374958,-0.9988775510638925,yes,no
Callaway-Sant'Anna,-0.0648655678878213,0.01803276755069005,-6.28065561965232,-9.535238996466722,-2.908984518964719,yes,yes
