group,n_states,log_coef,se,pct,CI lo %,CI hi %,MDE %,above MDE?,excludes 0?
west_never_treated,10,-0.051738489612418656,0.017878380053537493,-5.042284133316965,-8.312131821912072,-1.655824464106892,6.148191874541098,no,yes
all_never_treated,16,-0.0648655678878213,0.01803276755069005,-6.28065561965232,-9.535238996466722,-2.908984518964719,5.451133621246185,yes,yes
excl_city_states,13,-0.07683074369879334,0.015323930616801675,-7.3953420438504835,-10.135359991606062,-4.571779574542023,5.405593728802005,yes,yes
