group,states,log_origin,attraction,retention
all never-treated (9),16,-0.02947982159104369,-0.036731859048243914,-0.006031734581568985
western never-treated (3),10,-0.02056406706566106,-0.030322665153777018,-0.015032283968338944
excluding city states,13,-0.04266884069908136,-0.03751943191825421,-0.008150587930867334
no double cohort in controls,15,-0.0167244976857263,-0.04790024037018438,-0.00927496278113945
