state,state_code,year,study_location,origin,stayers,unattributed,german_location,net_inflow,net_inflow_incl_foreign,outflow,inflow,attraction,retention,ever_treated,intro_year,treated,east,ni_per1k,log_origin,rel
Rheinland-Pfalz,07,2005,12152.0,9949,5246,1594,10558.0,609.0,2203.0,4703,5312.0,0.059411822794201805,0.5272891747914363,0,,0,0,61.21218212885717,9.20522732258936,
Rheinland-Pfalz,07,2006,12602.0,9995,5436,1655,10947.0,952.0,2607.0,4559,5511.0,0.09098047817005693,0.543871935967984,0,,0,0,95.24762381190595,9.209840246934501,
Rheinland-Pfalz,07,2007,13658.0,10969,6162,1644,12014.0,1045.0,2689.0,4807,5852.0,0.09099952399877258,0.5617649740176862,0,,0,0,95.26848390919865,9.302828391411333,
Baden-Württemberg,08,2003,43453.0,35028,26901,8102,35351.0,323.0,8425.0,8127,8450.0,0.009178938825630421,0.7679856115107914,1,2007,0,0,9.221194472993034,10.463903020642116,-4.0
Baden-Württemberg,08,2004,40588.0,33232,25206,7430,33158.0,-74.0,7356.0,8026,7952.0,-0.0022292523164829897,0.75848579682234,1,2007,0,0,-2.226769378911892,10.411268546115894,-3.0
Baden-Württemberg,08,2005,39979.0,33611,24919,7045,32934.0,-677.0,6368.0,8692,8015.0,-0.02034783554828154,0.7413941864270626,1,2007,0,0,-20.142215346166434,10.422608673326225,-2.0
Baden-Württemberg,08,2006,39254.0,33781,24559,6841,32413.0,-1368.0,5473.0,9222,7854.0,-0.041338937363935194,0.7270063053195583,1,2007,0,0,-40.49613688167905,10.427653793239193,-1.0
Baden-Württemberg,08,2007,39344.0,35271,24857,6399,32945.0,-2326.0,4073.0,10414,8088.0,-0.06822159218793057,0.7047432735108162,1,2007,1,0,-65.94652830937598,10.47081637553585,0.0
Bayern,09,2003,46446.0,38477,32432,5985,40461.0,1984.0,7969.0,6045,8029.0,0.05027788702252675,0.8428931569509057,1,2007,0,0,51.56327156483094,10.55781593916244,-4.0
Bayern,09,2004,44712.0,36038,30426,5772,38940.0,2902.0,8674.0,5612,8514.0,0.07744806263943112,0.8442754869859592,1,2007,0,0,80.52611132693268,10.492329216286759,-3.0
Bayern,09,2005,45809.0,36401,30835,5864,39945.0,3544.0,9408.0,5566,9110.0,0.09290726114120064,0.8470921128540425,1,2007,0,0,97.35996263838905,10.502351525774941,-2.0
Bayern,09,2006,47375.0,36849,31343,5955,41420.0,4571.0,10526.0,5506,10077.0,0.11693537474237117,0.850579391571006,1,2007,0,0,124.0467855301365,10.514583760207204,-1.0
Bayern,09,2007,48615.0,38244,32270,5651,42964.0,4720.0,10371.0,5974,10694.0,0.11637587051260097,0.8437924903252798,1,2007,1,0,123.4180525049681,10.551741964205338,0.0
Saarland,10,2003,3619.0,3659,2073,726,2893.0,-766.0,-40.0,1586,820.0,-0.23489586004307178,0.5665482372232851,1,2007,0,0,-209.34681606996446,8.204945165019208,-4.0
Saarland,10,2004,3229.0,3504,1796,706,2523.0,-981.0,-275.0,1708,727.0,-0.32845650341522437,0.5125570776255708,1,2007,0,0,-279.9657534246575,8.161660452056282,-3.0
Saarland,10,2005,3410.0,3669,1912,713,2697.0,-972.0,-259.0,1757,785.0,-0.3077791012155521,0.521122921777051,1,2007,0,0,-264.92232215862634,8.207674424355282,-2.0
Saarland,10,2006,3339.0,3625,1798,711,2628.0,-997.0,-286.0,1827,830.0,-0.32163118768427396,0.496,1,2007,0,0,-275.0344827586207,8.195609567288775,-1.0
Saarland,10,2007,3281.0,3733,1796,660,2621.0,-1112.0,-452.0,1937,825.0,-0.3536562755911775,0.48111438521296546,1,2007,1,0,-297.8837396196089,8.224967478914584,0.0
Berlin,11,2003,16795.0,11525,7238,3798,12997.0,1472.0,5270.0,4287,5759.0,0.12019997271673906,0.6280260303687636,0,,0,1,127.72234273318873,9.352273867864849,
Berlin,11,2004,15600.0,11079,6605,3921,11679.0,600.0,4521.0,4474,5074.0,0.052740932757892454,0.5961729397960105,0,,0,1,54.15651232060655,9.312806703520673,
Berlin,11,2005,15840.0,10809,6311,4044,11796.0,987.0,5031.0,4498,5485.0,0.08738137051896402,0.5838652974373207,0,,0,1,91.3127948931446,9.288134399416203,
Berlin,11,2006,16793.0,11097,6517,4284,12509.0,1412.0,5696.0,4580,5992.0,0.11977358371417758,0.5872758403172028,0,,0,1,127.24159682797152,9.314430080500564,
Berlin,11,2007,18631.0,12486,7085,4750,13881.0,1395.0,6145.0,5401,6796.0,0.10591298195341982,0.567435527791126,0,,0,1,111.72513214800577,9.43236329562169,
Brandenburg,12,2003,7374.0,9100,3012,1272,6102.0,-2998.0,-1726.0,6088,3090.0,-0.3996578272283264,0.330989010989011,0,,0,1,-329.45054945054943,9.116029692504942,
Brandenburg,12,2004,7040.0,8747,2872,1173,5867.0,-2880.0,-1707.0,5875,2995.0,-0.399367354493995,0.3283411455356122,0,,0,1,-329.25574482679775,9.076466063419854,
Brandenburg,12,2005,6840.0,8606,2665,1282,5558.0,-3048.0,-1766.0,5941,2893.0,-0.43722130309609586,0.30966767371601206,0,,0,1,-354.1715082500581,9.060214913398545,
Brandenburg,12,2006,6983.0,8237,2527,1215,5768.0,-2469.0,-1254.0,5710,3241.0,-0.3563107999764637,0.30678645137792887,0,,0,1,-299.74505281048926,9.016391478941248,
Brandenburg,12,2007,8080.0,9027,2866,1222,6858.0,-2169.0,-947.0,6161,3992.0,-0.2748042322752893,0.31749196853882794,0,,0,1,-240.27916251246262,9.107975365298154,
Mecklenburg-Vorpommern,13,2003,6457.0,6233,3557,694,5763.0,-470.0,224.0,2676,2206.0,-0.07839958537218422,0.5706722284614151,0,,0,1,-75.40510187710572,8.73761303680885,
Mecklenburg-Vorpommern,13,2004,6555.0,5856,3389,696,5859.0,3.0,699.0,2467,2470.0,0.0005121639036410762,0.5787226775956285,0,,0,1,0.5122950819672131,8.675222055641148,
Mecklenburg-Vorpommern,13,2005,5700.0,5651,2966,626,5074.0,-577.0,49.0,2685,2108.0,-0.10770305947061613,0.5248628561316581,0,,0,1,-102.1058219784109,8.639587799629844,
Mecklenburg-Vorpommern,13,2006,5945.0,5655,2951,647,5298.0,-357.0,290.0,2704,2347.0,-0.06521071871820584,0.5218390804597701,0,,0,1,-63.12997347480106,8.640295388550221,
Mecklenburg-Vorpommern,13,2007,6370.0,6002,3070,637,5733.0,-269.0,368.0,2932,2663.0,-0.04585379309192972,0.5114961679440186,0,,0,1,-44.81839386871043,8.699848026000312,
Sachsen,14,2003,20184.0,15889,11406,2421,17763.0,1874.0,4295.0,4483,6357.0,0.11149059631151882,0.7178551198942664,0,,0,1,117.94323116621563,9.673382324888367,
Sachsen,14,2004,18853.0,15339,10586,2674,16179.0,840.0,3514.0,4753,5593.0,0.053315500257227796,0.6901362539930895,0,,0,1,54.76237042831997,9.638153883748108,
Sachsen,14,2005,18316.0,14776,10066,2541,15775.0,999.0,3540.0,4710,5709.0,0.06542216553033808,0.6812398484028154,0,,0,1,67.60963724959393,9.600759521879075,
Sachsen,14,2006,17343.0,14477,9424,2655,14688.0,211.0,2866.0,5053,5264.0,0.014469650706228182,0.6509635974304069,0,,0,1,14.574842854182496,9.580316462154043,
Sachsen,14,2007,19687.0,15400,10326,2544,17143.0,1743.0,4287.0,5074,6817.0,0.1072224176057606,0.6705194805194805,0,,0,1,113.18181818181819,9.642122788401721,
Sachsen-Anhalt,15,2003,9906.0,9196,5172,943,8963.0,-233.0,710.0,4024,3791.0,-0.0256636145257105,0.5624184428012179,0,,0,1,-25.337103088299262,9.126523885883072,
Sachsen-Anhalt,15,2004,9409.0,8968,4992,1000,8409.0,-559.0,441.0,3976,3417.0,-0.06436012491909786,0.5566458519179304,0,,0,1,-62.332738626226586,9.101417964751995,
Sachsen-Anhalt,15,2005,7806.0,8594,4346,791,7015.0,-1579.0,-788.0,4248,2669.0,-0.20301357179837912,0.505701652315569,0,,0,1,-183.73283686292763,9.058819564334941,
Sachsen-Anhalt,15,2006,7824.0,8129,4089,813,7011.0,-1118.0,-305.0,4040,2922.0,-0.1479575705396047,0.5030139008488129,0,,0,1,-137.5322917948087,9.003193193746572,
Sachsen-Anhalt,15,2007,8757.0,10363,4864,755,8002.0,-2361.0,-1606.0,5499,3138.0,-0.25855025976703716,0.4693621538164624,0,,0,1,-227.82977902151887,9.245997049184217,
Thüringen,16,2003,8724.0,9605,5122,961,7763.0,-1842.0,-881.0,4483,2641.0,-0.2129149387969767,0.5332639250390422,0,,0,1,-191.7751171264966,9.170039075202657,
Thüringen,16,2004,8460.0,9151,4734,831,7629.0,-1522.0,-691.0,4417,2895.0,-0.18190638782514884,0.517320511419517,0,,0,1,-166.32062069719157,9.121618441915379,
Thüringen,16,2005,8553.0,9167,4640,769,7784.0,-1383.0,-614.0,4527,3144.0,-0.1635397340959346,0.506163412239555,0,,0,1,-150.8672411912294,9.123365357961776,
Thüringen,16,2006,8594.0,8905,4536,924,7670.0,-1235.0,-311.0,4369,3134.0,-0.14929630136246022,0.5093767546322291,0,,0,1,-138.68613138686132,9.094368195723762,
Thüringen,16,2007,9254.0,8988,4635,947,8307.0,-681.0,266.0,4353,3672.0,-0.07879182146614827,0.5156875834445928,0,,0,1,-75.76769025367156,9.10364563330522,
