rel,ATT,SE,lo,hi,pct
-8,-0.017487346563037853,0.021552710556005633,-0.059729883022025136,0.02475518989594943,-1.733533032814083
-7,-0.022089373978546798,0.013916709419407427,-0.04936562322389468,0.005186875266801085,-2.1847190263738714
-6,0.01219730060226246,0.020199249044436825,-0.027392500039588815,0.05178710124411373,1.227199103823584
-5,0.055568225231895654,0.01557450446250025,0.02504275740833681,0.0860936930554545,5.714113831145862
-4,-0.011243176105631011,0.029163193943202218,-0.068401985908464,0.04591563369720198,-1.1180207809977527
-3,-0.03408829379061328,0.015371024571959008,-0.06421494835713314,-0.003961639224093424,-3.3513833857051534
-2,0.0317373443176904,0.02636200579472492,-0.019931237600206646,0.08340592623558746,3.2246344327810483
-1,0.005064941608829005,0.019466063123220557,-0.03308784103346657,0.04321772425112458,0.5077790108721114
0,-0.0616694553843778,0.01893280309139977,-0.09877706756990995,-0.024561843198845648,-5.980638863002774
1,-0.07605196164987355,0.03163369781397825,-0.13805287006309436,-0.01405105323665274,-7.323195108865388
