placebo_shift,log_coef,se,pct,p,fake_intro
-5,0.03643838767517107,0.02450221316472106,3.7110403266183534,0.15769338405445632,2001/2002
-4,0.01698261398348296,0.0277836923456263,1.7127638373593657,0.5501897896141337,2002/2003
-3,0.004697088833665078,0.025426484457540352,0.4708137447420935,0.8559136014595894,2003/2004
