rel,ATT,SE,lo,hi,outcome
-3,-0.018280203514803688,0.016944504098122266,-0.05149082128301468,0.014930414253407305,log(origin): participation
-2,0.01278748810810818,0.011990060167525945,-0.010712597992710958,0.036287574208927316,log(origin): participation
-1,0.03345689959685512,0.017204693747185452,-0.00026368051266983245,0.06717747970638008,log(origin): participation
0,-0.026787590070832527,0.023112044961028495,-0.07208636580351882,0.01851118566185376,log(origin): participation
1,-0.03890263191178267,0.02152754080332675,-0.08109583656201956,0.00329057273845422,log(origin): participation
-3,-0.020440948435801097,0.02711332026781861,-0.07358207966202546,0.03270018279042327,log(location/origin): attraction
-2,0.02143055021098142,0.0198555222213664,-0.01748555823713146,0.0603466586590943,log(location/origin): attraction
-1,-0.018209736300466517,0.016162044325158602,-0.04988676109431734,0.013467288493384307,log(location/origin): attraction
0,-0.03663013075163234,0.015701997430868052,-0.06740548020147417,-0.005854781301790499,log(location/origin): attraction
1,-0.037087908086384416,0.034495308193231634,-0.10469746978072786,0.030521653607959026,log(location/origin): attraction
-3,-0.011467409936424627,0.01063462320312306,-0.032310888403699806,0.009376068530850556,stayers/origin: retention
-2,0.0032104095555576893,0.009447426231684222,-0.015306205605142348,0.021727024716257724,stayers/origin: retention
-1,0.00501576262887868,0.008841869855437948,-0.012313983843770073,0.022345509101527432,stayers/origin: retention
0,-0.007222614283762771,0.006859311475943308,-0.020666617735353936,0.006221389167828394,stayers/origin: retention
1,-0.0018636556238907373,0.014161026903351174,-0.029618758338561806,0.025891447090780333,stayers/origin: retention
