spec,term,coef,SE,p,as %
any fee-free destination,treat,-0.11921355453192145,0.049833048651888784,0.017768920754491768,-11.23817743743426
+ bordering interaction,treat,-0.11110755516954966,0.05419405097552129,0.04178885857447989,-10.515750118365519
+ bordering interaction,treat_border,-0.03609463867018415,0.04863942339472132,0.45899707261203915,-3.5450994471704855
