outcome,coef,SE,p,readable
log(origin): participation,-0.007848013241717302,0.026710408693716384,0.7729230170352701,-0.78%
log(location/origin): attraction,-0.03800514672659935,0.02317931302814376,0.12188357172147057,-3.73%
stayers/origin: retention,-0.002971195961008116,0.00958511831971378,0.7608410114176967,-0.0030
net inflow per 1 000 (underpowered),-36.725250504233394,20.820722794194936,0.09810280127595616,-36.7253
