outcome,observed,perm SD,analytic SE,randomisation p,draws,SE ratio
log(origin): participation,-0.029479821591043676,0.029111322228719684,0.02118329188101047,0.344,2000,1.3742586559370507
log(location/origin): attraction,-0.03673185904824391,0.02421610053460758,0.01801534915965048,0.134,2000,1.344192683694697
stayers/origin: retention,-0.006031734581568985,0.009453807988699478,0.007856770031252697,0.531,2000,1.203269021632818
