outcome,slope/yr,SE,p,over 3 yrs,significant 5%
log(German location / origin),0.0057803934934574485,0.01996757574680973,0.7722071980498172,0.017341180480372344,no
stayers / origin,-0.001265605305691463,0.008915223277990204,0.8871115824738784,-0.003796815917074389,no
log origin (participation),0.004344681928465975,0.013453569380515396,0.7467414573242378,0.013034045785397925,no
net inflow per 1 000 origin,5.330475903004681,20.47295097066175,0.7945808809600554,15.991427709014042,no
