comparison group,treated,controls,pre_periods,post_periods,resid_sd_log,MDE_log,MDE_%
all never-treated (9),7,9,8,2,0.04755286204526217,0.053077471198928604,5.451133621246185
western never-treated (3),7,3,8,2,0.03903844359702407,0.05966596833301922,6.148191874541098
excl. city-states,6,7,8,2,0.04272386597219328,0.052645520141691174,5.405593728802005
