component,ATT,as %
"participation, log(origin)",-0.029479821591043676,-2.9049530320820915
"redistribution, attraction",-0.03673185904824391,-3.6065428967782864
sum,-0.06621168063928759,-6.406727551627078
"direct estimate, log(german_location)",-0.06621168063928848,-6.4067275516271565
