specification,states,log_coef,se,pct,p
baseline (all 16),16,-0.050180256602732544,0.020480233955611937,-4.894202543081039,0.027031818767690563
excluding Sachsen-Anhalt,15,-0.054026174503493785,0.020406442989397512,-5.259269173864123,0.019122019336118568
with double-cohort control,16,-0.05266564420883493,0.020186795246684923,-5.13028381508941,0.019745315659779106
